round,task_id,train_loss,global_test_acc,global_test_loss,comm_cost_mb,task_0_acc,task_1_acc,task_2_acc
0,0,,0.11720776306475751,1.9738978422005726,0.0,0.1166997133065104,0.11693362527040176,0.11798995061736037
1,0,2.1531367020842684,0.13049977950506472,1.9052998237542829,204.6192169189453,0.16641494085841568,0.11856335602606621,0.10652104163071228
2,0,2.0681548452733103,0.13898970674916625,1.8424291712992131,409.2384338378906,0.178964191360615,0.11944890935478021,0.1185560195321035
3,0,1.9471322540823313,0.14330581917622356,1.7983295910425077,613.8576507568359,0.1921918751574454,0.11724683722908148,0.12047874514214378
4,0,1.8576612478540504,0.15117515863415512,1.7223456714191705,818.4768676757812,0.21676066310993033,0.11363714218605481,0.12312767060648022
5,0,1.757519057807675,0.15434809587492274,1.739560402331683,1023.0960845947266,0.22582143315828296,0.12175884973329949,0.11546400473318583
6,0,1.7747856079869977,0.1547951661211686,1.7533205968305938,1227.7153015136719,0.22945647006551215,0.11772439350302318,0.11720463479497037
7,0,1.6516876470083734,0.16186657359548892,1.660254556125531,1432.3345184326172,0.24250045141218193,0.12430757846378347,0.11879169091050132
8,0,1.4839592013333045,0.16456093601278396,1.661960661287062,1636.9537353515625,0.26219147916423896,0.11670587608708448,0.11478545278702837
9,0,1.4401451197636967,0.1656034197752625,1.6456282414982204,1841.5729522705078,0.27092220962421887,0.11054379346377922,0.11534425623778935
10,0,1.3908208028019102,0.17438972218711532,1.6181226062694305,2046.1921691894531,0.2896095213712915,0.11557289612284735,0.11798674906720708
11,0,1.3477275639078679,0.17929619486055978,1.5791837501113306,2250.8113861083984,0.30153972601775864,0.11700740793318197,0.1193414506307387
12,0,1.2738638430915545,0.1860323238698323,1.577175254055389,2455.4306030273438,0.32228286065829415,0.12067627376080173,0.11513783719040104
13,0,1.2169146469736452,0.18640261971696104,1.588198170484013,2660.049819946289,0.32350424774558073,0.11439208352070004,0.12131152788460234
14,0,1.0967368726913205,0.19186762950076966,1.55378704756219,2864.6690368652344,0.3413206304124883,0.11794162731644729,0.11634063077337341
15,0,1.0545587548727167,0.19342580289360556,1.537093579367298,3069.2882537841797,0.3464962671648446,0.11876007283882252,0.11502106867714953
16,0,1.0258932618607195,0.19571074021569757,1.5298223399889848,3273.907470703125,0.36517784919199986,0.11131312276614126,0.11064124868895162
